epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.88192,0.64215,0.40476,1,0.80582,8.335e-05,8.335e-05,8.335e-05
2,9.8613,0.58575,0.61905,1,0.65022,0.000174293,0.000174293,0.000174293
3,14.6384,0.42761,0.7619,1,0.56681,0.000255334,0.000255334,0.000255334
4,19.4155,0.32949,0.88095,1,0.36425,0.000326474,0.000326474,0.000326474
5,24.3034,0.29277,0.85714,1,0.29138,0.000387711,0.000387711,0.000387711
6,29.0344,0.21235,0.90476,1,0.2266,0.000439046,0.000439046,0.000439046
7,33.7351,0.17194,0.88095,1,0.17455,0.000480479,0.000480479,0.000480479
8,38.4514,0.12137,0.92857,1,0.15498,0.000512011,0.000512011,0.000512011
9,43.1466,0.08369,0.95238,1,0.14212,0.00053364,0.00053364,0.00053364
10,47.8186,0.11692,0.95238,1,0.11009,0.000545367,0.000545367,0.000545367
11,52.526,0.07089,0.97619,1,0.07987,0.000547193,0.000547193,0.000547193
12,57.243,0.06956,0.97619,1,0.07215,0.000539116,0.000539116,0.000539116
13,62.008,0.1055,0.97619,1,0.05493,0.000521138,0.000521138,0.000521138
14,66.6851,0.0379,0.97619,1,0.11351,0.000493257,0.000493257,0.000493257
15,71.3935,0.03186,0.97619,1,0.10184,0.000455474,0.000455474,0.000455474
16,76.1515,0.03274,0.97619,1,0.09388,0.00040779,0.00040779,0.00040779
17,80.8357,0.02687,0.97619,1,0.13923,0.000346736,0.000346736,0.000346736
18,85.5638,0.05322,0.97619,1,0.14289,0.00026422,0.00026422,0.00026422
19,90.2518,0.03781,0.97619,1,0.05758,0.000181703,0.000181703,0.000181703
20,94.9109,0.04511,0.97619,1,0.07951,9.91865e-05,9.91865e-05,9.91865e-05
